sr_no,name,id,city,address,work_sector,Address,City,State,Telephone,Mobile No,Website Url,E-mail
,,,,,,,,,,,,
26,Centre For Social Equity And Inclusion,"show_ngo_info(""166848"");","6907, New Delhi (DELHI)","7/24, 2nd Floor, West Patel Nagar,New Delhi-110008",Education & Literacy,"PLOT NO. 167, SAMACHAR APARTMENT, MAYUR VIHAR PHASE-1, EXTN. NEW DELHI-110091",NEW DELHI,DELHI,Not Available,9810881539,Not Available,reetagnayak(at)gmail[dot]com
,,,,,,,,,,,,
27,Centre for Social Research,"show_ngo_info(""150540"");","S11869, New Delhi (DELHI)","2 Nelson Mandela Marg , Vasant Kunj",Women's Development & Empowerment,"7/24, 2nd Floor, West Patel Nagar,New Delhi-110008",New Delhi,DELHI,Not Available,9310435333,http://csei.org.in/,finance(at)cseiindia[dot]org.in
,,,,,,,,,,,,
28,CENTRE FOR SOCIAL RESPONSIBILITY AND LEADERSHIP,"show_ngo_info(""118174"");","S/60979/2008, NEW DELHI (DELHI)","A33, Swasthya Vihar, New Delhi - 110092","Education & Literacy,Vocational Training,Youth Affairs,Any Other","2 Nelson Mandela Marg , Vasant Kunj",New Delhi,DELHI,Not Available,9873394136,http://csrindia.org,info1(at)csrindia[dot]org
,,,,,,,,,,,,
29,CENTRE FOR SOCIAL VIBES,"show_ngo_info(""182584"");","326584, NEW DELHI (DELHI)","948, RADHIKA APARTMENT,POCKET1, SECTOR-14,DWARKA, NEW DELHI - 110078","Agriculture,Art & Culture,Drinking Water,Education & Literacy,Food Processing,Health & Family Welfare,Information & Communication Technology,Labour & Employment,Micro Finance (SHGs),Micro Small & Medium Enterprises,New & Renewable Energy,Rural Development & Poverty Alleviation,Sports,Tourism,Vocational Training,Women's Development & Empowerment","A33, Swasthya Vihar, New Delhi - 110092",NEW DELHI,DELHI,011-22732662,7042199685,http://www.csrl.in,chandramohan[dot]csrl(at)gmail.com
,,,,,,,,,,,,
30,Centre for Socio Economic and Political Research,"show_ngo_info(""117807"");","770, New Delhi (DELHI)","478/5A, Top Floor, Govindpuri, Kalkaji","Animal Husbandry, Dairying  &  Fisheries,Agriculture,Art & Culture,Children,Civic Issues,Differently Abled,Dalit Upliftment,Education & Literacy,Environment & Forests,Health & Family Welfare,Human Rights,Legal Awareness & Aid,Labour & Employment,Micro Finance (SHGs),Minority Issues,Micro Small & Medium Enterprises,Nutrition,Panchayati Raj,Rural Development & Poverty Alleviation,Sports,Tourism,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,Youth Affairs","948, RADHIKA APARTMENT,
POCKET1, SECTOR-14,
DWARKA, NEW DELHI - 110078",NEW DELHI,DELHI,Not Available,9654339666,Not Available,ngocsvoffice(at)gmail[dot]com
,,,,,,,,,,,,
31,Centre for Strategy and Leadership,"show_ngo_info(""202371"");","U85200DL2018NPL335180, Delhi (DELHI)","7a/24 W.E.A,Karol bag",Data Not Found,"478/5A, Top Floor, Govindpuri, Kalkaji",New Delhi,DELHI,011-49071771,9968180088,http://www.csepr.org,vivekdadar(at)gmail[dot]com
,,,,,,,,,,,,
32,Centre for Studies of Tradition and Systems,"show_ngo_info(""212886"");","805/2016-2017/4, NEW DELHI (DELHI)",BE-7BDDA FLATS MUNIRKA,"Art & Culture,Education & Literacy","7a/24 W.E.A,
Karol bag",Delhi,DELHI,Not Available,9818008033,https://www.cslonline.org/,shekhar[dot]kundra(at)saudawala.com
,,,,,,,,,,,,
33,Centre for the Study of Caste & Capitalism,"show_ngo_info(""217993"");","U85310DL2015NPL284085, Delhi (DELHI)","27, Rajpur Road, Civil Lines","Dalit Upliftment,Micro Small & Medium Enterprises,Tribal Affairs","BE-7B
DDA FLATS MUNIRKA",NEW DELHI,DELHI,Not Available,9871987471,http://csts.org.in,csts[dot]ind(at)gmail.com
,,,,,,,,,,,,
34,CENTRE FOR THE STUDY OF DEVELOPING SOCIETIES,"show_ngo_info(""166359"");","3369, DELHI (DELHI)",29 RAJPUR ROAD CIVIL LINES,Any Other,"27, Rajpur Road, Civil Lines",Delhi,DELHI,Not Available,9312210188,https://cscc.inclusivity.in/,csccinclusivity(at)gmail[dot]com
,,,,,,,,,,,,
35,Centre for Tribal Health and Biotechnology Foundation,"show_ngo_info(""234063"");","U85100DL2018NPL340984, Delhi (DELHI)","CTHBFPlot No. 21 Ground FloorHouse No. 90 Vikas ViharBlock A Rohini, North West Delhi 110039","Biotechnology,Education & Literacy,Health & Family Welfare,Nutrition,Scientific & Industrial Research",29 RAJPUR ROAD CIVIL LINES,DELHI,DELHI,Not Available,9811499463,http://csds.in,director(at)csds[dot]in
,,,,,,,,,,,,
36,Centre for Tribal Policy Research (CTPR),"show_ngo_info(""188091"");","S/2434/Distt.South/2018, SAKET (DELHI)","520-A, MAIN BUS STAND, MAIDAN GARHI, NEW DELHI-110068.",Tribal Affairs,"CTHBF
Plot No. 21 Ground FloorHouse No. 90 Vikas Vihar
Block A Rohini, North West Delhi 110039",Delhi,DELHI,Not Available,9798685959,Not Available,soh[dot]khan(at)hotmail.com
,,,,,,,,,,,,
37,CENTRE FOR URBAN AND REGIONAL EXCELLENCE,"show_ngo_info(""168596"");","12890/4, NEW DELHI (DELHI)","C-2, GREEN PARK EXTENSION, NEW DELHI-110016","Drinking Water,Water Resources,Any Other,Housing,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,Land Resources","520-A, MAIN BUS STAND, MAIDAN GARHI, NEW DELHI-110068.",SAKET,DELHI,Not Available,8883697694,http://www.ctpr.in,ctprindia(at)gmail[dot]com
,,,,,,,,,,,,
38,CENTRE FOR WOMENS DEVELOPMENT STUDIES,"show_ngo_info(""152483"");","S/10935, NEW DELHI (DELHI)","25 BHAI VIR SINGH MARG (GOLE MARKET), NEW DELHI","Women's Development & Empowerment,Children,Differently Abled,Education & Literacy,Health & Family Welfare,Micro Finance (SHGs),Dalit Upliftment,Panchayati Raj,Any Other","C-2, GREEN PARK EXTENSION, NEW DELHI-110016",NEW DELHI,DELHI,Not Available,9818198612,https://www.cureindia.org,renukhosla(at)cureindia[dot]org
,,,,,,,,,,,,
39,CENTRE FOR WORKERS MANAGEMENT,"show_ngo_info(""179350"");","S/21859, DELHI (DELHI)","B-160 4th Floor,DAYANAND COLONY,LAJPAT NAGAR -IV DELHI-110024",Any Other,"25 BHAI VIR SINGH MARG (GOLE MARKET), NEW DELHI",NEW DELHI,DELHI,Not Available,9891044642,http://www.cwds.ac.in,administration(at)cwds[dot]ac.in
,,,,,,,,,,,,
40,Centre for Youth,"show_ngo_info(""114923"");","S/1760/Distt South/2014, New Delhi (DELHI)",Centre for YouthShahpur Jat,"Children,Education & Literacy,Information & Communication Technology,Nutrition,Vocational Training,Women's Development & Empowerment,Youth Affairs","B-160 4th Floor,DAYANAND COLONY,LAJPAT NAGAR -IV DELHI-110024",DELHI,DELHI,Not Available,9899090190,Not Available,workersdelhi(at)gmail[dot]com
,,,,,,,,,,,,
41,Centum Foundation,"show_ngo_info(""165360"");","S-52837/2005, new delhi (DELHI)",127 Neelagagan mandi road sultanpurMehrauli New Delhi-110030,"Differently Abled,Education & Literacy,Women's Development & Empowerment","Centre for Youth
Shahpur Jat",New Delhi,DELHI,011-41619005,9181044577,http://www.c4yindia.org,info(at)c4yindia[dot]org
,,,,,,,,,,,,
42,CEQUIN A UNIT OF JAI JAWAN JAI KISAN TRUST,"show_ngo_info(""72033"");","801/2012-13/4, New Delhi (DELHI)","18, Kotla Lane, Rouse Avenue, ITONew Delhi - 110002","Education & Literacy,Health & Family Welfare,Human Rights,Legal Awareness & Aid,Sports,Vocational Training,Women's Development & Empowerment","127 Neelagagan mandi road sultanpur
Mehrauli New Delhi-110030",new delhi,DELHI,Not Available,9599107370,http://www.centumlearning.com/,mohan[dot]verma(at)centumlearning.com
,,,,,,,,,,,,
43,CFI CHARITABLE TRUST,"show_ngo_info(""217507"");","7216/2000 dated 4 Oct 2000, NEW DELHI (DELHI)","J4/46 SECOND FLOOR, MALVIYA NAGAR, NEW DELHI","Education & Literacy,Agriculture,Animal Husbandry, Dairying  &  Fisheries,Children,Drinking Water,Health & Family Welfare,Vocational Training","18, Kotla Lane, Rouse Avenue, ITO
New Delhi - 110002",New Delhi,DELHI,011-23230585,9818080216,http://cequinindia.org,admin[dot]finance(at)cequinindia.org
,,,,,,,,,,,,
44,CH HOSHIAR SINGH MANN FOUNDATION,"show_ngo_info(""226418"");","1231, DELHI (DELHI)","KHASRA NO -42/9 , SAFIYABAD ROAD NARELA, DELHI-110040",Urban Development & Poverty Alleviation,"J4/46 SECOND FLOOR, MALVIYA NAGAR, NEW DELHI",NEW DELHI,DELHI,Not Available,8281724648,Not Available,financecfi(at)gmail[dot]com
,,,,,,,,,,,,
45,Ch Pawan Singh Educational Welfare Cultural & Charitable Society,"show_ngo_info(""226700"");","S/54039/DISTT.SOUTH/2005, DELHI (DELHI)","B-999,SECOND FLOOR KH.NO.1584/1,BANDH ROAD,AYA NAGAR,NEW DELHI-110047","Art & Culture,Children,Drinking Water,Education & Literacy,Health & Family Welfare,Labour & Employment,Rural Development & Poverty Alleviation,Sports,Vocational Training,Women's Development & Empowerment,Youth Affairs","KHASRA NO -42/9 , SAFIYABAD ROAD NARELA, DELHI-110040",DELHI,DELHI,Not Available,9811291390,Not Available,amitkrg246(at)rediffmail[dot]com
,,,,,,,,,,,,
46,CH. KANHAIYALAL MEMORIAL FOUNDATION,"show_ngo_info(""232055"");","67, SOUTH WEST DELHI (DELHI)","FLAT NO. 118,POCKET-1, DDA SFS FLATS, SECTOR -5 DWARKA DELHI","Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Biotechnology,Children,Civic Issues,Dalit Upliftment,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Housing,Human Rights,Information & Communication Technology,Labour & Employment,Land Resources,Legal Awareness & Aid,Micro Finance (SHGs),Micro Small & Medium Enterprises,Minority Issues,New & Renewable Energy,Nutrition,Panchayati Raj,Prisoner's Issues,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Science & Technology,Scientific & Industrial Research,Sports,Tourism,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment,Youth Affairs,Any Other","B-999,SECOND FLOOR KH.NO.1584/1,BANDH ROAD,AYA NAGAR,NEW DELHI-110047",DELHI,DELHI,Not Available,9873877291,Not Available,admingn(at)scholarshome[dot]in
,,,,,,,,,,,,
47,CH.MAHARAJ SINGH CAREER ACADEMY AND COACHING CENTRE,"show_ngo_info(""209258"");","ROF/NORTH/ALP/55....OF 2018, DELHI (DELHI)",F2/6 GROUND FLOOR SECTOR 16 ROHINI DELHI 110085,Data Not Found,"FLAT NO. 118,POCKET-1, DDA SFS FLATS, SECTOR -5 DWARKA DELHI",SOUTH WEST DELHI,DELHI,Not Available,9810947850,Not Available,ckmfoundation21(at)gmail[dot]com
,,,,,,,,,,,,
48,Chaitanya Akhada,"show_ngo_info(""218626"");","979/2018/Book4/Vol1930/N.D., New Delhi (DELHI)","Plot No. 118, Gandhi Park, Village Dindarpur","Agriculture,Art & Culture,Children,Drinking Water,Education & Literacy,Environment & Forests,Health & Family Welfare,Land Resources,Nutrition,Rural Development & Poverty Alleviation,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment,Any Other",F2/6 GROUND FLOOR SECTOR 16 ROHINI DELHI 110085,DELHI,DELHI,Not Available,9310009293,Not Available,rajivkumarchoudhary[dot]77(at)gmail.com
,,,,,,,,,,,,
49,CHAITANYA BHARAT SOCIAL PROMOTIONAL SOCIETY,"show_ngo_info(""193115"");","64741/2009, EAST DELHI (DELHI)","REGISTERED ADD.POCKET-B MAYUR VIHAR PHASE 2 NEW DELHI-110091 ,CORRESPONDENT ADD. VILLAGE BHUJAINI TEHSIL KHALILABAD DIST. SANT KABIR NAGAR UTTAR PRADESH PIN CODE 272175",Education & Literacy,"Plot No. 118, Gandhi Park, Village Dindarpur",New Delhi,DELHI,Not Available,9536694099,http://www.akhada.world,www[dot]akhada.world(at)gmail.com
,,,,,,,,,,,,
50,CHAKMA BUDDHIST SOCIETY,"show_ngo_info(""99382"");","S-22963 OF 1992, New Delhi (DELHI)","Ashok Buddha Vihar,Old Power House Road, Rajghat New Delhi- 110002","Art & Culture,Minority Issues,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Tribal Affairs,Women's Development & Empowerment,Any Other","REGISTERED ADD.POCKET-B MAYUR VIHAR PHASE 2 NEW DELHI-110091 ,
CORRESPONDENT ADD. VILLAGE BHUJAINI TEHSIL KHALILABAD DIST. SANT KABIR NAGAR UTTAR PRADESH PIN CODE 272175",EAST DELHI,DELHI,Not Available,9829096032,Not Available,sanjayprakashgargalwar(at)gmail[dot]com
,,,,,,,,,,,,
51,CHALCHALEY,"show_ngo_info(""157658"");","2171, New Delhi (DELHI)","C-1/24, 2nd Floor-B, Old Village Jasola Extn, Jamia Nagar, New Delhi","Children,Education & Literacy,Health & Family Welfare,Human Rights,Women's Development & Empowerment,Differently Abled,Aged/Elderly,Environment & Forests,Rural Development & Poverty Alleviation","Ashok Buddha Vihar,Old Power House Road, Rajghat New Delhi- 110002",New Delhi,DELHI,011-25620583,9871474452,http://,cbsnewdelhi(at)gmail[dot]com
,,,,,,,,,,,,
52,CHALO OLYMPIC FOUNDATION,"show_ngo_info(""177214"");","U92410DL2017NPL314449, New Delhi (DELHI)","39,II ND FLOOR,, MOHAMMAD PUR,, NEW DELHI, South Delhi, Delhi,India, 110066","Agriculture,Dalit Upliftment,Disaster Management,Education & Literacy,Micro Finance (SHGs),Rural Development & Poverty Alleviation,Women's Development & Empowerment,Any Other","C-1/24, 2nd Floor-B, Old Village Jasola Extn, Jamia Nagar, New Delhi",New Delhi,DELHI,Not Available,9891076906,http://www.chalchaley.org,chalchaley(at)hotmail[dot]com
,,,,,,,,,,,,
53,CHAMBER OF INDIAN MICRO SMALL AND MEDIUM ENTERPRISES,"show_ngo_info(""209618"");","U93000DL2011NPL223614, Delhi (DELHI)","1206, New Delhi House, Barakhamba Road, Connaught Place","Agriculture,Art & Culture,Children,Health & Family Welfare,Housing,Human Rights,Information & Communication Technology,Labour & Employment,Land Resources,Legal Awareness & Aid,Micro Finance (SHGs),Micro Small & Medium Enterprises,Right to Information & Advocacy,Vocational Training","39,II ND FLOOR,, MOHAMMAD PUR,, NEW DELHI, South Delhi, Delhi,
India, 110066",New Delhi,DELHI,Not Available,8512868166,Not Available,vksdesk(at)gmail[dot]com
,,,,,,,,,,,,
54,CHAMBER OF SKILL,"show_ngo_info(""206019"");","1916, DELHI (DELHI)","KHASRA NO- 7/12,FLOORGROUNDKAMAL VIHARKAMALPURVILLAGEBURARI, NEW DELHI-110084","Agriculture,Art & Culture,Children,Drinking Water,Education & Literacy,Environment & Forests,Food Processing,Sports,Vocational Training,Women's Development & Empowerment","1206, New Delhi House, Barakhamba Road, Connaught Place",Delhi,DELHI,Not Available,9582864488,https://www.indiansmechamber.com/,info(at)indiansmechamber[dot]com
,,,,,,,,,,,,
55,CHAND EDUCATIONAL AND CULTURAL SOCIETY,"show_ngo_info(""160823"");","S/65085/2009, delhi (DELHI)",441 Street No.9Wazirabad Extn Delhi-110084,"Art & Culture,Education & Literacy,Information & Communication Technology,Minority Issues,Vocational Training,Women's Development & Empowerment,Any Other,Differently Abled,Aged/Elderly,Food Processing","KHASRA NO- 7/12,FLOORGROUNDKAMAL VIHARKAMALPURVILLAGEBURARI, NEW DELHI-110084",DELHI,DELHI,Not Available,9654692425,Not Available,chamberofskill(at)gmail[dot]com
,,,,,,,,,,,,
56,CHAND GOYAL SCHOOL FOUNDATION,"show_ngo_info(""238456"");","272025, NEW DELHI (DELHI)",D-15/2 OKHLA PHASE -1 NEW DELHI South Delhi 110020,Education & Literacy,"441 Street No.9
Wazirabad Extn Delhi-110084",delhi,DELHI,Not Available,9313126174,Not Available,cecsdelhi(at)gmail[dot]com
,,,,,,,,,,,,
57,CHANDER KANTA EDUCATION & WELFARE SOCIETY,"show_ngo_info(""207000"");","42005, DELHI (DELHI)",B-21 CHANDER NAGAR (WEST) STREET NO 1,Data Not Found,D-15/2 OKHLA PHASE -1 NEW DELHI South Delhi 110020,NEW DELHI,DELHI,Not Available,8283915288,Not Available,corpldh(at)gmail[dot]com
,,,,,,,,,,,,
58,Chanderwati Educational and Charitable Trust,"show_ngo_info(""178267"");","11661, delhi (DELHI)",AG-16Shalimar BaghDelhi,Education & Literacy,B-21 CHANDER NAGAR (WEST) STREET NO 1,DELHI,DELHI,Not Available,9891765432,Not Available,CKEWS(at)REDIFFMAIL[dot]COM
,,,,,,,,,,,,
59,CHANDERWATI JAIN EDUCATIONAL and CHARITABLE SOCIETY,"show_ngo_info(""163511"");","54759 of 2006, Tughlakabad (DELHI)","H.No.376, Jallam Mohalla, Tughlakabad Village, New Delhi-110 044",Data Not Found,"AG-16
Shalimar Bagh
Delhi",delhi,DELHI,Not Available,9540000200,Not Available,cect[dot]delhi(at)gmail.com
,,,,,,,,,,,,
60,CHANDPURA FOUNDATION (NGO),"show_ngo_info(""190127"");","66379, Delhi (DELHI)","Reg. Office J1, Ground Floor, J- Block, Jahangirpuri, new Delhi110033Head Office - Office No. 304, D-9, Goyal Complex, Vikas Marg, Laxmi Nagar, Delhi-92","Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Biotechnology,Children,Civic Issues,Disaster Management,Drinking Water,Education & Literacy,Environment & Forests,Food Processing,Health & Family Welfare,Housing,Micro Finance (SHGs),Panchayati Raj,Tourism,Vocational Training,Any Other","H.No.376, Jallam Mohalla, Tughlakabad Village, New Delhi-110 044",Tughlakabad,DELHI,Not Available,7835905223,Not Available,chanderwatijainsociety(at)gmail[dot]com
,,,,,,,,,,,,
61,Chandra Bhushan Singh Memorial Mahila Bal Evam Shravan Viklang Shiksha Evam Punarvas Sansthan,"show_ngo_info(""117668"");","S-30661, DELHI (DELHI)",Regd 124 RK VIHAR Plot No 29 IP Extension Delhi 110092Project Office Audiological Unit 48 Hasanpur Near Hasanpur Village Bus Stand IP Extn Delhi 92,Differently Abled,"Reg. Office J1, Ground Floor, J- Block, Jahangirpuri, new Delhi110033
Head Office - Office No. 304, D-9, Goyal Complex, Vikas Marg, Laxmi Nagar, Delhi-92",Delhi,DELHI,Not Available,8377867867,https://chandpurafoundation.org,chandpurafoundation[dot]org(at)gmail.com
,,,,,,,,,,,,
62,Chandra Jyoti Welfare Society,"show_ngo_info(""222405"");","S/21421, Delhi (DELHI)",12 H Opp Traffic KotwaliDarya Ganj,Data Not Found,Regd 124 RK VIHAR Plot No 29 IP Extension Delhi 110092Project Office Audiological Unit 48 Hasanpur Near Hasanpur Village Bus Stand IP Extn Delhi 92,DELHI,DELHI,011-22232043,9810782542,http://www.cbsmshi.org,cbsmshi(at)gmail[dot]com
,,,,,,,,,,,,
63,CHANDRA PRAKASH SOCIAL WELFARE SOCIETY,"show_ngo_info(""193468"");","S/60181/2007, DELHI (DELHI)","FLAT No: C26, PLOT103, HIMVARSHA APARTMENTS, I.P. EXTN., PATPARGANJ, EAST DELHI,DELHI -110092","Education & Literacy,Education & Literacy",12 H Opp Traffic KotwaliDarya Ganj,Delhi,DELHI,Not Available,9871455551,http://chandrajyotiws.org/,chandrajyotiws1990(at)gmail[dot]com
,,,,,,,,,,,,
64,Chandrawati Chaudhry Samarak Trust,"show_ngo_info(""230551"");","S/5931, New Delhi (DELHI)","Des Raj Campus, C Block, East Of Kailash, New Delhi","Children,Dalit Upliftment,Education & Literacy,Vocational Training,Women's Development & Empowerment,Any Other","FLAT No: C26, PLOT103, HIMVARSHA APARTMENTS, I.P. EXTN., PATPARGANJ, EAST DELHI,DELHI -110092",DELHI,DELHI,Not Available,9811513155,Not Available,pritibajaj(at)hotmail[dot]com
,,,,,,,,,,,,
65,Change Makers Group,"show_ngo_info(""179428"");","1200, new delhi (DELHI)","556, Bazar Mohalla, Village-Tughlakabad, New Delhi-110044",Education & Literacy,"Des Raj Campus, C Block, East Of Kailash, New Delhi",New Delhi,DELHI,Not Available,9899019469,Not Available,chandravaticst(at)gmail[dot]com
,,,,,,,,,,,,
66,Change Makers Society,"show_ngo_info(""177445"");","S-E/473/Distt-South -East /201, Nehru Place  (DELHI)","1312, Chiranjiv Tower , 42, Nehru Place , New Delhi","Art & Culture,Disaster Management,Education & Literacy,Health & Family Welfare,Sports","556, Bazar Mohalla, Village-Tughlakabad, New Delhi-110044",new delhi,DELHI,Not Available,9716429138,http://www.changemakersgroup.org,ausaf[dot]zaya442(at)rediffmail.com
,,,,,,,,,,,,
67,Change With One Foundation,"show_ngo_info(""218239"");","1860, MAUJPUR (DELHI)","A-31/120, MATA MANDIR MARG, MAUJPUR",Health & Family Welfare,"1312, Chiranjiv Tower , 42, Nehru Place , New Delhi",Nehru Place,DELHI,Not Available,9870437144,Not Available,saurabh(at)wealthedge[dot]net
,,,,,,,,,,,,
68,Charanjiv Charitable Trust,"show_ngo_info(""233111"");","DL I(C) (T-400), New Delhi (DELHI)","115, Ansal Bhawan, 16, Kasturba Gandhi Marg, New Delhi-110001",Data Not Found,"A-31/120, MATA MANDIR MARG, MAUJPUR",MAUJPUR,DELHI,Not Available,9810670347,Not Available,kiran[dot]verma(at)email.com
,,,,,,,,,,,,
69,CHARITIES AID FOUNDATION INDIA,"show_ngo_info(""108436"");","3733/IV, NEW DELHI (DELHI)","SITE NO.-2, FIRST FLOOR, SECTOR-C (OFC POCKET), VASANT KUNJ, NEW DELHI-110070","Aged/Elderly,Agriculture,Art & Culture,Children,Differently Abled,Disaster Management,Education & Literacy,Environment & Forests,Health & Family Welfare,Housing,Nutrition,Sports,Women's Development & Empowerment","115, Ansal Bhawan, 16, Kasturba Gandhi Marg, New Delhi-110001",New Delhi,DELHI,Not Available,7280009000,Not Available,skillsessment(at)gmail[dot]com
,,,,,,,,,,,,
70,CHARKHA,"show_ngo_info(""164418"");","S26836, NEW DELHI (DELHI)","FLAT NO. 12A, 3RD FLOOR, VASANT APARTMENT, VASANT VIHAR","Children,Differently Abled,Rural Development & Poverty Alleviation,Women's Development & Empowerment","SITE NO.-2, FIRST FLOOR, SECTOR-C (OFC POCKET), VASANT KUNJ, NEW DELHI-110070",NEW DELHI,DELHI,011-26134192,9899157733,http://www.cafindia.org,rakesh[dot]goswami(at)cafindia.org
,,,,,,,,,,,,
71,Charterpreneurs Foundation,"show_ngo_info(""237948"");","349161, DELHI (DELHI)","office no 201, F- 13 2ND FLOOR VIJAY CHOWKLAXMI NAGARDELHI 110092",Education & Literacy,"FLAT NO. 12A, 3RD FLOOR, VASANT APARTMENT, VASANT VIHAR",NEW DELHI,DELHI,Not Available,7042293792,http://www.charkha.org,charkha(at)bol[dot]net.in
,,,,,,,,,,,,
72,CHATARPATI SHIVAJI SAMAJ KALYAN & SHIKSHA PRACHAR SAMITI,"show_ngo_info(""184131"");","S/34100, DELHI (DELHI)","1/11541, SUBHASH PARK, SHAHDARA, DELHI-110032","Education & Literacy,Aged/Elderly,Environment & Forests,Health & Family Welfare,HIV/AIDS,Information & Communication Technology,Labour & Employment,Rural Development & Poverty Alleviation,Vocational Training,Youth Affairs","office no 201, F- 13 2ND FLOOR VIJAY CHOWKLAXMI NAGAR
DELHI 110092",DELHI,DELHI,Not Available,9971278797,https://www.charterpreneurs.com/,charterpreneurs(at)gmail[dot]com
,,,,,,,,,,,,
73,CHEDI LAL MADAN LAL TRUST,"show_ngo_info(""190395"");","1511, DELHI (DELHI)","4273-IF, GALI BAHUJIPahari Dhiraj DELHI",Education & Literacy,"1/11541, SUBHASH PARK, SHAHDARA, DELHI-110032",DELHI,DELHI,Not Available,8802008080,Not Available,CSSK[dot]CSSK(at)GMAIL.COM
,,,,,,,,,,,,
74,Cheshire Home India Delhi Unit,"show_ngo_info(""185772"");","50988, NEW DELHI (DELHI)","OPPOSITE HOLY FAMILY HOSPITAL, OKHLA ROAD, NEW DELHI-110025",Data Not Found,"4273-IF, GALI BAHUJIPahari Dhiraj DELHI",DELHI,DELHI,Not Available,9837549000,Not Available,itmaligarh(at)gmail[dot]com
,,,,,,,,,,,,
75,CHESTHA WELFARE FOUNDATION,"show_ngo_info(""196005"");","864, NEW DELHI (DELHI)",H. NO.-6 GOPAL NAGAR EXTN DHANSA ROAD NAJAFGARH NEW DELHI-110043,"Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Children,Dalit Upliftment,Differently Abled,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,Rural Development & Poverty Alleviation","OPPOSITE HOLY FAMILY HOSPITAL, OKHLA ROAD, NEW DELHI-110025",NEW DELHI,DELHI,Not Available,9971523748,Not Available,sudhansu74(at)gmail[dot]com
,,,,,,,,,,,,
76,Chetana Conscience of Women,"show_ngo_info(""107485"");","234/2012, New Delhi (DELHI)","35/13, second floor, East Patel Nagar, New Delhi-110008.","Education & Literacy,Legal Awareness & Aid,Micro Finance (SHGs),Women's Development & Empowerment",H. NO.-6 GOPAL NAGAR EXTN DHANSA ROAD NAJAFGARH NEW DELHI-110043,NEW DELHI,DELHI,Not Available,8766213455,Not Available,chesthawelfarefoundation(at)gmail[dot]com
,,,,,,,,,,,,
77,CHETANALAYA,"show_ngo_info(""2005"");","S 25427, New Delhi (DELHI)","9-10, Bhai Vir Singh Marg, New Delhi 110001","Aged/Elderly,Agriculture,Children,Civic Issues,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Environment & Forests,Health & Family Welfare,HIV/AIDS,Housing,Human Rights,Legal Awareness & Aid,Micro Finance (SHGs),Minority Issues,Micro Small & Medium Enterprises,Nutrition,Panchayati Raj,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Sports,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training","35/13, second floor, East Patel Nagar, New Delhi-110008.",New Delhi,DELHI,011-45719436,9811602777,http://chetanadelhi.org,chetana4delhi(at)gmail[dot]com
,,,,,,,,,,,,
78,CHETNA JANHIT SOCIETY,"show_ngo_info(""196337"");","S37809, DELHI (DELHI)","70-D, POCKET-R, DILSHAD GARDEN, DELHI-110095","Art & Culture,Children,Education & Literacy,Environment & Forests,Health & Family Welfare,HIV/AIDS,Labour & Employment,Rural Development & Poverty Alleviation,Women's Development & Empowerment,Any Other","9-10, Bhai Vir Singh Marg, New Delhi 110001",New Delhi,DELHI,011-23744308,9868405948,http://chetanalaya.org.in,chetanalaya(at)gmail[dot]com
,,,,,,,,,,,,
79,Chhanv Foundation,"show_ngo_info(""163078"");","U85100DL2014NPL271152, New delhi  (DELHI)","F-171/4 First Floor Mangal BazaarRoad,Street no. 23 Bakery lane, opposite- Sharma DairyLandmark Arora craft emporiumLaxmi Nagar, New Delhi,110092",Women's Development & Empowerment,"70-D, POCKET-R, DILSHAD GARDEN, DELHI-110095",DELHI,DELHI,Not Available,9211557323,Not Available,kksinha1971(at)gmail[dot]com
,,,,,,,,,,,,
80,Chhatravas Chandra Arya Vidya Mandir,"show_ngo_info(""212406"");","4980, New Delhi (DELHI)","Des Raj Campus, C-Block, East Of Kailash, New Delhi-110065","Children,Dalit Upliftment,Education & Literacy,Vocational Training,Women's Development & Empowerment,Any Other","F-171/4 First Floor Mangal BazaarRoad,Street no. 23 Bakery lane, opposite- Sharma Dairy
Landmark Arora craft emporiumLaxmi Nagar, New Delhi,110092",New delhi,DELHI,Not Available,9958066951,http://www.chhanv.org,chhanvfoundation(at)gmail[dot]com
,,,,,,,,,,,,
