sr_no,name,city,address,work_sector,Address,City,State,Telephone,Mobile No,Website Url,E-mail
30,CARE AND CONCERN TRUST,"20829, NEW DELHI (DELHI)","RZF 1048-B, FLAT NO-A2, RAJ NAGAR PART-II, GURU NANAK MARG, PALAM COLONY","Art & Culture,Children,Education & Literacy,Health & Family Welfare,Vocational Training","29-SANDEEP BHAVAN ,1st Floor ,Near PNB ATM, DASGHARA, P-O PUSA, NEW DELHI-110012.",DELHI,DELHI,Not Available,9999009392,http://careandhelp.org.in/,care0027@gmail.com
31,Care Deprived Child Foundation,"S/126/SDM/NW, Delhi (DELHI)","110/24, Kewal Park","Education & Literacy,Health & Family Welfare","RZF 1048-B, FLAT NO-A2, RAJ NAGAR PART-II, GURU NANAK MARG, PALAM COLONY",NEW DELHI,DELHI,Not Available,9971123355,Not Available,langlianzaw@yahoo.com
32,Care Educational and welfare society,"34273, Delhi (DELHI)","2647, Hudson Line, Near North Campus, North Delhi-110009","Education & Literacy,Vocational Training","110/24, Kewal Park",Delhi,DELHI,Not Available,9350760606,Not Available,mgupta2803@gmail.com
33,Care For Life Charitable Trust,"362/2014, NEW DELHI (DELHI)","63/12b,3 floor ,rama road industrial area new delhi-110015",Health & Family Welfare,"2647, Hudson Line, Near North Campus, North Delhi-110009",Delhi,DELHI,011-49052119,9212009823,http://www.cews.in,vicechairperson@cews.in
34,care for smile,"884, Delhi (DELHI)","WZ- B17 UTTAM NAGAR, NEW DELHI","Art & Culture,Children,Differently Abled,Education & Literacy,Food Processing,Legal Awareness & Aid,Rural Development & Poverty Alleviation,Urban Development & Poverty Alleviation,Women's Development & Empowerment,Vocational Training","63/12b,3 floor ,rama road industrial area new delhi-110015",NEW DELHI,DELHI,011-69999651,9999418680,http://careforlifecharitabletrust.org,careforlifecharitabletrust@gmail.com
35,CARE HAIR CHARITABLE FOUNDATION,"4864, NEW DELHI (DELHI)","F-18, STREET NO. 31, MAHENDRA PARK, ADARSH NAGAR","Children,Dalit Upliftment,Differently Abled,Aged/Elderly,Health & Family Welfare,HIV/AIDS,Labour & Employment,Rural Development & Poverty Alleviation,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment","WZ- B17 UTTAM NAGAR, NEW DELHI",Delhi,DELHI,Not Available,8800830073,http://www.c4sworld.org,thankuhelp4smile@gmail.com
36,Care Luit,"3974, NEW DELHI (DELHI)","Office address: House 72, Ajanta Path, Beltola, Guwahati, Assam, India","Agriculture,Art & Culture,Children,Civic Issues,Disaster Management,Education & Literacy,Environment & Forests,Health & Family Welfare,Information & Communication Technology,Micro Small & Medium Enterprises,New & Renewable Energy,Rural Development & Poverty Alleviation,Sports,Tourism,Vocational Training,Youth Affairs","F-18, STREET NO. 31, MAHENDRA PARK, ADARSH NAGAR",NEW DELHI,DELHI,Not Available,9810032137,http://www.carehairindia.org/,share@carehairindia.org
37,Care Promise Welfare Society,"712-24-07-2017, New Delhi (DELHI)","331, 1stFloor, Sant Nagar, East of Kailash, New Delhi.","Health & Family Welfare,Children,Education & Literacy,HIV/AIDS","Office address: House 72, Ajanta Path, Beltola, Guwahati, Assam, India",NEW DELHI,DELHI,Not Available,9811230719,http://www.careluit.org,rituraj.borah@gmail.com
38,CARE TODAY FUND,"35163, NEW DELHI (DELHI)","304, COMPETENT HOUSEMIDDLE CIRCLECANNAUGHT PLACE",Data Not Found,"331, 1stFloor, Sant Nagar, East of Kailash, New Delhi.",New Delhi,DELHI,Not Available,9990898404,http://carepromise.org/,cpws7@yahoo.com
39,CARE VILLAGE FOUNDATION,"1329, DELHI (DELHI)",J1/40 B PHASE1 BUDHVIHAR DELHI-110086,"Agriculture,Art & Culture,Children,Dalit Upliftment,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,HIV/AIDS,Human Rights,Labour & Employment,Legal Awareness & Aid,Micro Finance (SHGs),Right to Information & Advocacy,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,Youth Affairs,Art & Culture,Children,Legal Awareness & Aid,Micro Finance (SHGs),Women's Development & Empowerment,Civic Issues,Rural Development & Poverty Alleviation,Animal Husbandry, Dairying  &  Fisheries,Human Rights,Micro Finance (SHGs),Health & Family Welfare,Human Rights,Panchayati Raj,Panchayati Raj","304, COMPETENT HOUSE
MIDDLE CIRCLE
CANNAUGHT PLACE",NEW DELHI,DELHI,Not Available,9818699926,Not Available,rsingh@thomsonpress.com
40,CAREER AND EDUCATION FOUNDATION,"139, KRISHNA NAGAR (DELHI)","A-4, 1ST FLOOR, KANTI NAGAR DELHI-110051","Children,Health & Family Welfare,Vocational Training,Women's Development & Empowerment",J1/40 B PHASE1 BUDHVIHAR DELHI-110086,DELHI,DELHI,Not Available,9350004647,http://www.cvfindia.org/,carevillagetrust@gmail.com
41,CAREER PLUS EDUCATIONAL SOCIETY,"S 34036/98, DELHI (DELHI)","Head Office-301/A37, 38, 39 IIIrd Floor Ansal Building, Comm.Complex,near batra cinemaDr. Mukherjee Nagar Delhi - 110009Regd.Off-F-3/8 SEC-11 ROHINI Delhi-110085","Dalit Upliftment,Differently Abled,Education & Literacy,Health & Family Welfare,Minority Issues,Tribal Affairs,Vocational Training,Women's Development & Empowerment,Youth Affairs,Disaster Management,Aged/Elderly,Environment & Forests,Human Rights,Rural Development & Poverty Alleviation,Science & Technology,Sports,Urban Development & Poverty Alleviation","A-4, 1ST FLOOR, KANTI NAGAR DELHI-110051",KRISHNA NAGAR,DELHI,Not Available,9310975385,https://cefindia.com/,cefindia139@gmail.com
42,careindiawelfaretrust,"1392, NEW DELHI (DELHI)","Basti Vikash Kendra ( Barat Ghar ), Chunna Bhatti, Lakkar Mandi, Kirti Nagar, New Delhi110015","Aged/Elderly,Children,Education & Literacy,Health & Family Welfare,Human Rights,Nutrition,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,HIV/AIDS,Legal Awareness & Aid,Micro Small & Medium Enterprises,Any Other","Head Office-301/A37, 38, 39 IIIrd Floor Ansal Building, Comm.Complex,near batra cinemaDr. Mukherjee Nagar Delhi - 110009
Regd.Off-F-3/8 SEC-11 ROHINI Delhi-110085",DELHI,DELHI,Not Available,9811651353,https://www.careerplusgroup.com,contact@careerplusgroup.in
43,CARENIDHI,"1169, New Delhi (DELHI)","Flat No.70, First Floor, Sector-2, Pocket 1, Dwarka, Delhi-110075","Children,Civic Issues,Differently Abled,Drinking Water,Education & Literacy,Environment & Forests,Health & Family Welfare,Human Rights,Information & Communication Technology,Nutrition,Scientific & Industrial Research,Urban Development & Poverty Alleviation,Any Other","Basti Vikash Kendra ( Barat Ghar ), Chunna Bhatti, Lakkar Mandi, Kirti Nagar, New Delhi110015",NEW DELHI,DELHI,011-42883776,9582628470,http://careindiawelfaretrust.org,help@careindiawelfaretrust.org
44,CAREWELL CHARITBLE SOCIETY,"S/49954/2004, DELHI (DELHI)","XIV 10965, 1/2, 10966-F,Gali No.4 Sidipura, Delhi- 110005","Civic Issues,Education & Literacy,Environment & Forests,Health & Family Welfare,HIV/AIDS,Human Rights,Rural Development & Poverty Alleviation,Women's Development & Empowerment,Any Other,Aged/Elderly","Flat No.70, First Floor, Sector-2, Pocket 1, Dwarka, Delhi-110075",New Delhi,DELHI,Not Available,9818621980,http://www.carenidhi.org,carenidhi@gmail.com
45,Caring Foundation,"S127680, Delhi (DELHI)","35, Defence Enclave, Vikas Marg, Delhi-110092",Data Not Found,"XIV 10965, 1/2, 10966-F,Gali No.4 Sidipura, Delhi- 110005",DELHI,DELHI,Not Available,9431641687,Not Available,meena.prasad@carewell.org
46,CARING HANDS,"941, NEW DELHI (DELHI)",3RD A-7 SHOP 2 VISHNU GARDEN NEW DELHI-110018,Data Not Found,"35, Defence Enclave, Vikas Marg, Delhi-110092",Delhi,DELHI,Not Available,8586978347,htttp://www.caringfoundation.in,ugranath.jha@cimbs.in
47,Caring India Trust,"1413, New Delhi (DELHI)","H.No-6,Street No.-3, East Guru Angad Nagar,Laxmi Nagar New Delhi-110014","Education & Literacy,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Information & Communication Technology,Labour & Employment,Scientific & Industrial Research,Science & Technology,Vocational Training,Women's Development & Empowerment",3RD A-7 SHOP 2 VISHNU GARDEN NEW DELHI-110018,NEW DELHI,DELHI,Not Available,8130737512,Not Available,mryogihandreader6253@gmail.com
48,Caritas India,"3304, NEW DELHI (DELHI)","CARITAS India3rd Floor CBCI Centre,1, Ashok Place, Near Gol DakkhanaNew Delhi- 110001","Agriculture,Children,Drinking Water,Education & Literacy,Health & Family Welfare,Nutrition,Rural Development & Poverty Alleviation,Tribal Affairs,Water Resources,Women's Development & Empowerment,Housing,Disaster Management","H.No-6,Street No.-3, East Guru Angad Nagar,
Laxmi Nagar New Delhi-110014",New Delhi,DELHI,011-65151955,9958556531,http://www.caringindiatrust.org,infocaringindiatrust@gmail.com
49,CARMEL COMMUNITY CHURCH TRUST,"2000, KALKAJI (DELHI)","A.2 DDA JANTA FLATS, KALKAJI, NEW DELHI-110019",Data Not Found,"CARITAS India
3rd Floor CBCI Centre,1, Ashok Place, Near Gol Dakkhana
New Delhi- 110001",NEW DELHI,DELHI,011-23363390,9871484549,http://www.caritasindia.org,director@caritasindia.org
50,CARMEL COMMUNITY TRUST,"11670, KALKAJI (DELHI)","A-2 DDA SLUM FLATS, KALKAJI","Children,Education & Literacy","A.2 DDA JANTA FLATS, KALKAJI, NEW DELHI-110019",KALKAJI,DELHI,Not Available,9871578925,Not Available,blesson.james87@gmail.com
51,Carnegie Endowment for International Peace India,"U73200DL2013NPL260149, DELHI (DELHI)","The Claridges, 12, Dr. APJ Abdul Kalam Road, New Delhi- 110011",Data Not Found,"A.2 DDA JANTA FLATS, KALKAJI, NEW DELHI-110019",KALKAJI,DELHI,Not Available,9871578925,Not Available,blesson.james87@gmail.com
52,CARS- Council for awareness on road safety,"s-38777, new delhi (DELHI)","123/123, 3rd floor, satya niketan , new delhi",Data Not Found,"The Claridges, 12, Dr. APJ Abdul Kalam Road, New Delhi- 110011",DELHI,DELHI,Not Available,8146524285,Not Available,crmohan@ceip.org
53,CATHOLIC BISHOPS CONFERENCE OF INDIA,"S/5962, DELHI (DELHI)",CBCI CENTRE 1- ASHOKA PALACE NEW DELHI,"Youth Affairs,Dalit Upliftment,Education & Literacy,Health & Family Welfare,Human Rights,Information & Communication Technology,Labour & Employment,Rural Development & Poverty Alleviation,Tribal Affairs","123/123, 3rd floor, satya niketan , new delhi",new delhi,DELHI,Not Available,9811228794,Not Available,caddindia06@gmail.com
54,CATHOLIC CHARISMATIC RENEWAL SERVICES,"S 40277 of 2001, NEW DELHI (DELHI)","BA-274, TAGORE GARDEN, NEW DELHI- 110027",Data Not Found,CBCI CENTRE 1- ASHOKA PALACE NEW DELHI,DELHI,DELHI,Not Available,9811141110,http://www.cbci.in,accounts@cbci.in
55,causeless happiness organisation,"585, DELHI (DELHI)","S-547,3RD FLOOR,SCHOOL BLOCK, SHAKARPUR DELHI-110092","Children,Differently Abled,Education & Literacy,Food Processing,Health & Family Welfare,HIV/AIDS,Human Rights,Nutrition,Rural Development & Poverty Alleviation,Sports,Vocational Training,Women's Development & Empowerment","BA-274, TAGORE GARDEN, NEW DELHI- 110027",NEW DELHI,DELHI,Not Available,9205385585,Not Available,shajikp2000@gmail.com
56,Cavalry Endowment Fund Trust,"1181, Delhi Cantt (DELHI)","ROOM NO 8, SABRE OFFICER’S MESS, T1 STATION ROAD, DELHI CANTT. DELHI – 110010","Differently Abled,Women's Development & Empowerment","S-547,3RD FLOOR,SCHOOL BLOCK, SHAKARPUR DELHI-110092",DELHI,DELHI,011-22486805,9711685043,http://WWW.CAUSELESSHAPPINESS.ORG,INFO@CAUSELESSHAPPINESS.ORG
57,CBCI SOCIETY FOR SOCIAL COMMUNICATIONS RESEARCH AND TRAINING,"S-31861 of 1997, New Delhi (DELHI)","1, Ashok Place, CBCI Centre , Gole Dak Khana",Data Not Found,"ROOM NO 8, SABRE OFFICER’S MESS, T1 STATION ROAD, DELHI CANTT. DELHI – 110010",Delhi Cantt,DELHI,Not Available,9911771867,Not Available,risala.trust@gmail.com
58,CDH International Foundation India,"7985, New Delhi (DELHI)","Fourth Floor, Statesman House, Barakhamba Connaught Place","Animal Husbandry, Dairying  &  Fisheries,Health & Family Welfare","1, Ashok Place, CBCI Centre , Gole Dak Khana",New Delhi,DELHI,Not Available,8130496971,http://www.niscort.com,cbciniscort@gmail.com
59,CEEFI Supply Centre Trust,"7452/4, NEW DELHI (DELHI)","805/92, Deepali Building, Nehru Place",Any Other,"Fourth Floor, Statesman House, Barakhamba Connaught Place",New Delhi,DELHI,Not Available,9923490909,Not Available,ravibhosale999@gmail.com
60,Center for Art & Archaeology,"S/1294/Distt.South/2013, NEW DELHI (DELHI)","D-31, Defence Colony",Art & Culture,"805/92, Deepali Building, Nehru Place",NEW DELHI,DELHI,Not Available,9871949115,http://csct.org.in/,bindeshwar.lochan@gmail.com
61,Center for Civilisational Studies,"1275, Delhi (DELHI)","B-14Street No 13, Village Wazirabad",Any Other,"D-31, Defence Colony",NEW DELHI,DELHI,Not Available,7011745185,http://vmis.in,naveenkamra@gmail.com
62,Center for Culture & Global Studies,"IN-DL37830977057220P, Delhi (DELHI)","2602, Gali No. 17, Kailash Nagar, Delhi-110031","Art & Culture,Education & Literacy,Information & Communication Technology,Scientific & Industrial Research,Youth Affairs","B-14
Street No 13, Village Wazirabad",Delhi,DELHI,Not Available,9899588033,http://www.civilisationalstudies.org,civilisationalstudies@gmail.com
63,CENTER FOR NORTH EAST STUDIES & POLICY RESEARCH,"3339, New Delhi (DELHI)","B-378, Chittaranjan Park (Ground Floor)","Children,Differently Abled,Disaster Management,Education & Literacy,Health & Family Welfare,Human Rights,Information & Communication Technology,Nutrition,Panchayati Raj,Rural Development & Poverty Alleviation,Water Resources,Women's Development & Empowerment,Any Other","2602, Gali No. 17, Kailash Nagar, Delhi-110031",Delhi,DELHI,Not Available,9868068787,http://www.globalculturz.org,globalculturz@gmail.com
64,CENTER FOR PUBLIC HEALTH KINETICS,"5842, NEW DELHI (DELHI)","214-A, BASEMENT, VINOBA PURI, LAJPAT NAGAR-II","Children,Health & Family Welfare,Nutrition,Scientific & Industrial Research,Any Other,Biotechnology,Children,Health & Family Welfare,Nutrition,Scientific & Industrial Research,Any Other","B-378, Chittaranjan Park (Ground Floor)",New Delhi,DELHI,Not Available,9854028963,http://www.c-nes.org,ashokraocnes@gmail.com
65,CENTER FOR SOCIAL LEARNING,"1780, NEW DELHI (DELHI)","A- 15, PARYAVAN COMPLEX ,SAIDULAB, NEW DELHI -110030","Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Children,Civic Issues","214-A, BASEMENT, VINOBA PURI, LAJPAT NAGAR-II",NEW DELHI,DELHI,Not Available,9650471973,Not Available,waseemali@cphk.net.in
66,Center for Social Security Action and Research,"61488, New Delhi (DELHI)","429,3rd floor, Rajendra Arihant Tower, B-1, Community Centre, Janakpuri,New Delhi-110058",Education & Literacy,"A- 15, PARYAVAN COMPLEX ,SAIDULAB, NEW DELHI -110030",NEW DELHI,DELHI,Not Available,9990556066,Not Available,rupeshbharti208@gmail.com
67,CENTER OF POLICY RESEARCH AND GOVERNANCE,"259/4-49, NEW DELHI (DELHI)","J4, DHAWANDEEP, 6 JANTAR MANTAR ROAD, NEW DELHI","Children,Civic Issues,Education & Literacy,Environment & Forests,Health & Family Welfare,Human Rights,Information & Communication Technology,Labour & Employment,Minority Issues,Panchayati Raj,Rural Development & Poverty Alleviation,Scientific & Industrial Research,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment,Youth Affairs,Any Other","429,3rd floor, Rajendra Arihant Tower, B-1, Community Centre, Janakpuri,
New Delhi-110058",New Delhi,DELHI,011-25512685,9968246139,http://www.cssar.org,ceo@cssar.org
68,Centers for International Projects Trust,"5770, New Delhi (DELHI)","910-911, Pragati Towers, Rajendra Place, New Delhi","Agriculture,Environment & Forests,Rural Development & Poverty Alleviation,Water Resources,Women's Development & Empowerment","J4, DHAWANDEEP, 6 JANTAR MANTAR ROAD, NEW DELHI",NEW DELHI,DELHI,Not Available,9930912114,http://www.cprgindia.org/,ramanand.tiss@gmail.com
69,CENTRAL HIMALAYAN RURAL ACTION GROUP,"16928, Delhi (DELHI)","C-57, Friends Colony, New Delhi- 110065","Rural Development & Poverty Alleviation,Agriculture,Drinking Water,Education & Literacy,Environment & Forests,Micro Finance (SHGs),Water Resources","910-911, Pragati Towers, Rajendra Place, New Delhi",New Delhi,DELHI,Not Available,8800773345,http://www.cipt.in/,director@cipt.in
70,CENTRAL SERVICES OFFICERS BOARD,"307, New Delhi (DELHI)","CSOB, 65Aviraj Bhavan, First Floor, Sector-12A, Dwarka","Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Children,Civic Issues,Dalit Upliftment,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Housing,Human Rights,Information & Communication Technology,Labour & Employment,Land Resources,Legal Awareness & Aid,Micro Finance (SHGs),Micro Small & Medium Enterprises,Minority Issues,New & Renewable Energy,Nutrition,Panchayati Raj,Prisoner's Issues,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Science & Technology,Scientific & Industrial Research,Sports,Tourism,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment","C-57, Friends Colony, New Delhi- 110065",Delhi,DELHI,Not Available,9412162183,http://chirag.org,info@chirag.org
71,CENTRAL SQUARE FOUNDATION,"183 (in book no 4 vol no 1467), New Delhi (DELHI)","707, Mercantile House, 15 Kasturba Gandhi Marg, New Delhi-110001",Education & Literacy,"CSOB, 65Aviraj Bhavan, First Floor, Sector-12A, Dwarka",New Delhi,DELHI,Not Available,8527982111,https://www.csob.org.in,contact@csob.org.in
72,Centre for Action Research & Management in Developing Attitudes Knowledge & Skills in Human Resources (CARM-DAKSH),"S/22092, New Delhi (DELHI)","C23, Anand Niketan, New Delhi - 110021",Urban Development & Poverty Alleviation,"707, Mercantile House, 15 Kasturba Gandhi Marg, New Delhi-110001",New Delhi,DELHI,Not Available,9999644494,http://centralsquarefoundation.org,sushila@centralsquarefoundation.org
73,Centre for Advanced Research on Development and Change,"S/361/SDM/NW/2011, North West Delhi (DELHI)","192, Vidya Vihar Society, West Enclave, Pitampura, New Delhi-110034","Agriculture,Art & Culture,Children,Civic Issues,Dalit Upliftment,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Health & Family Welfare,Human Rights,Information & Communication Technology,Micro Finance (SHGs),Micro Small & Medium Enterprises,New & Renewable Energy,Panchayati Raj,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Sports,Vocational Training,Water Resources,Women's Development & Empowerment","C23, Anand Niketan, New Delhi - 110021",New Delhi,DELHI,Not Available,9893114529,Not Available,dipnarayan2@gmail.com
74,CENTRE FOR ADVOCACY AND RESEARCH,"C-520/98/328, NEW DELHI (DELHI)","REGISTERED OFFICE ADD: E1 PRESS ENCLAVE SAKET , NEW DELHI 110017","HIV/AIDS,Urban Development & Poverty Alleviation,Women's Development & Empowerment,Civic Issues","192, Vidya Vihar Society, West Enclave, Pitampura, New Delhi-110034",North West Delhi,DELHI,011-43041788,9999597655,http://www.cardc.co.in,pradeepdabral@rediffmail.com
75,Centre for Agricultural Policy Dialogue,"IN-DL01903167644629M, Delhi (DELHI)","11A, Skylark ApartmentDDA SFS Flats Site IIGhazipur-110096","Agriculture,Environment & Forests,Labour & Employment,Land Resources,Micro Finance (SHGs),Rural Development & Poverty Alleviation,Urban Development & Poverty Alleviation,Any Other","REGISTERED OFFICE ADD: E1 PRESS ENCLAVE SAKET , NEW DELHI 110017",NEW DELHI,DELHI,011-26418846,9810415066,http://www.cfar.org.in,cfarheadoffice@cfar.org.in
76,CENTRE FOR AGRICULTURE AND RURAL DEVELOPMENT,"37671, NEW DELHI (DELHI)","306, Rohit House, 3, Tolstoy Road, New Delhi-110001","Animal Husbandry, Dairying  &  Fisheries,Agriculture,Biotechnology,Dalit Upliftment,Environment & Forests,Food Processing,Information & Communication Technology,Micro Finance (SHGs),Micro Small & Medium Enterprises,New & Renewable Energy,Panchayati Raj,Rural Development & Poverty Alleviation,Science & Technology,Vocational Training","11A, Skylark Apartment
DDA SFS Flats Site II
Ghazipur-110096",Delhi,DELHI,Not Available,9818856006,Not Available,ankitagupta4@gmail.com
77,Centre for Alternative Dalit Media,"S/27877, NEW DELHI (DELHI)","M-3/22, 1st Floor, Model Town –IIIDelhi-110009, Phone:91-11-27442744, Fax:91-11-27419002",Dalit Upliftment,"306, Rohit House, 3, Tolstoy Road, New Delhi-110001",NEW DELHI,DELHI,011-23731129,9873061553,http://card.org.in,accounts@card.org.in
78,CENTRE FOR BUDGET AND GOVERNANCE ACCOUNTABILITY,"2333, NEW DELHI (DELHI)","B-7, EXTN, 110 A, GROUND FLOOR, SAFDARJUNG ENCLAVE, NEW DELHI",Data Not Found,"M-3/22, 1st Floor, Model Town –III
Delhi-110009, Phone:91-11-27442744, Fax:91-11-27419002",NEW DELHI,DELHI,Not Available,9718360585,Not Available,shambhu@nacdor.org.in
79,Centre for Catalyzing Change,"S-42102 of 2002, New Delhi (DELHI)",C1 Hauz Khas New Delhi - 110016,Health & Family Welfare,"B-7, EXTN, 110 A, GROUND FLOOR, SAFDARJUNG ENCLAVE, NEW DELHI",NEW DELHI,DELHI,Not Available,9871534278,Not Available,info@cbgaindia.org
80,CENTRE FOR CHANGE IN SOCIETY,"326, New Delhi (DELHI)","24-D, PKT-A, Sukhdev Vihar, New Delhi-110025","Art & Culture,Children,Education & Literacy,Environment & Forests,Health & Family Welfare,Housing,Human Rights,Information & Communication Technology,Labour & Employment,Legal Awareness & Aid,Micro Finance (SHGs),Micro Small & Medium Enterprises,Minority Issues,Rural Development & Poverty Alleviation,Scientific & Industrial Research,Sports,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment",C1 Hauz Khas New Delhi - 110016,New Delhi,DELHI,Not Available,9810245977,http://www.c3india.org,agogoi@c3india.org
81,Centre for China Analysis and Strategy,"3649 BOOK NO 4 VOL NO 3151, NEW DELH (DELHI)","A-50, VASANT VIHAR","Any Other,Education & Literacy","24-D, PKT-A, Sukhdev Vihar, New Delhi-110025",New Delhi,DELHI,Not Available,9999060121,Not Available,humahashim1786@gmail.com
82,Centre for Chronic Disease Control,"38393, NEW DELHI (DELHI)","FLAT NO. 70, POCKET 1SECTOR 2DWARKANEW DELHI 110 075","Health & Family Welfare,Scientific & Industrial Research","A-50, VASANT VIHAR",NEW DELH,DELHI,Not Available,9891450673,http://ccasindia.org/,hasija.namrata@gmail.com
83,CENTRE FOR CIVIL INITIATIVES,"U73100DL2012NPL234504, New Delhi (DELHI)","90, New Mangla Puri, Sultanpur, MG Road,",Data Not Found,"FLAT NO. 70, POCKET 1
SECTOR 2
DWARKA
NEW DELHI 110 075",NEW DELHI,DELHI,Not Available,9999349477,Not Available,alex@ccdcindia.org
84,CENTRE FOR CIVIL SOCIETY,"23990, Delhi (DELHI)","A-69,Hauz Khas,New Delhi-110016",Education & Literacy,"90, New Mangla Puri, Sultanpur, MG Road,",New Delhi,DELHI,Not Available,9873916683,https://www.nirogstreet.com,RAM@NIROGSTREET.COM
85,CENTRE FOR CROSS CULTURAL COMMUNICATIONS,"S 22795, NEW DELHI (DELHI)",D-891 NEW FRIENDS COLONY,"Children,Education & Literacy","A-69,Hauz Khas,New Delhi-110016",Delhi,DELHI,Not Available,9818666482,http://www.ccs.in,parth@ccs.in
86,Centre for Cultural Studies Development,"S/RS/SW/0051/2010, New Delhi (DELHI)","H-4/100 B,Mahavir Enclave,Bengali Colony,Palam-Dabri Road,New Delhi","Art & Culture,Education & Literacy,Women's Development & Empowerment,Youth Affairs",D-891 NEW FRIENDS COLONY,NEW DELHI,DELHI,Not Available,9818749514,http://www.koshishindia.org/,ajjanta@ajjanta.com
87,CENTRE FOR DEMOCRACY AND SOCIAL ACTION,"7712, delhi (DELHI)",D-7 THIRD FLOOR BHIM NAGARI APARTMENTS SAFDARJUNG DEVELOPMENT AREA NEW DELHI-110016,Data Not Found,"H-4/100 B,Mahavir Enclave,Bengali Colony,Palam-Dabri Road,New Delhi",New Delhi,DELHI,Not Available,9958610573,http://www.ccsdindia.org,ccsdindia@gmail.com
88,CENTRE FOR DEVELOPMENT ECONOMICS,"S-22900, DELHI (DELHI)","DELHI SCHOOL OF ECONOMICS, UNIVERSITY OF DELHI",Data Not Found,D-7 THIRD FLOOR BHIM NAGARI APARTMENTS SAFDARJUNG DEVELOPMENT AREA NEW DELHI-110016,delhi,DELHI,Not Available,9818908106,Not Available,cdsadelhi@gmail.com
89,CENTRE FOR DEVELOPMENT OF RURAL COMMUNITY AND AWARENESS(CDRCA),"S-29239, EAST DELHI (DELHI)","H.No 47A, GALI NO.2, KUNDAN NAGAR, LAKSHMI NAGAR, EAST DELHI, DELHI - 110092","Agriculture,Art & Culture,Children,Civic Issues,Differently Abled,Drinking Water,Education & Literacy,Environment & Forests,Health & Family Welfare,Human Rights,Labour & Employment,Minority Issues,Rural Development & Poverty Alleviation,Tourism,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,Youth Affairs","DELHI SCHOOL OF ECONOMICS, UNIVERSITY OF DELHI",DELHI,DELHI,Not Available,8527240529,http://cdedse.org,office@econdse.org
90,CENTRE FOR DIALOGUE AND RECONCILIATION,"U91110DL2001NPL257500, New Delhi (DELHI)","267-A, Gulmohar Avenue, Jamia Nagar",Any Other,"H.No 47A, GALI NO.2, KUNDAN NAGAR, LAKSHMI NAGAR, EAST DELHI, DELHI - 110092",EAST DELHI,DELHI,Not Available,9533395545,Not Available,CDRCAPRESIDENT@GMAIL.COM
91,Centre for Education and Communication,"13682, Delhi (DELHI)","173A, Khirki Village, Malviya Nagar, New Delhi110017","Human Rights,Labour & Employment","267-A, Gulmohar Avenue, Jamia Nagar",New Delhi,DELHI,Not Available,9899523366,Not Available,sushobha@gmail.com
92,Centre for Education and Health Research Organization,"District East/Society/57/2012, New Delhi (DELHI)","372, First Floor, Munirka Village,Near Pal Dairy,Opp. JNU Main GateNew Delhi","Children,Dalit Upliftment,Education & Literacy,Health & Family Welfare,Labour & Employment","173A, Khirki Village, Malviya Nagar, New Delhi110017",Delhi,DELHI,Not Available,9312307325,https:/www.cec-india.org,arati.p@cec-india.org
93,CENTRE FOR ENVIRONMENT AND ECONOMIC DEVELOPMENT,"0036, Delhi (DELHI)","J3/8, Ground floor, Near Sony Service center Rajouri Garden, New Delhi-110027, India","Agriculture,Animal Husbandry, Dairying  &  Fisheries,Children,Disaster Management,Drinking Water,Education & Literacy,Environment & Forests,Food Processing,Health & Family Welfare,Human Rights,Micro Small & Medium Enterprises,New & Renewable Energy,Rural Development & Poverty Alleviation,Water Resources,Women's Development & Empowerment","372, First Floor, Munirka Village,
Near Pal Dairy,
Opp. JNU Main Gate
New Delhi",New Delhi,DELHI,Not Available,9999760255,http://www.cehroindia.org,surjeet@cehroindia.org
94,Centre for Environment and Energy Development (CEED),"U85100DL2012NPL245085, NewDelhi (DELHI)",A1/248 2nd Floor Safdarjung Enclave,"Environment & Forests,New & Renewable Energy,Rural Development & Poverty Alleviation,Urban Development & Poverty Alleviation,Any Other","J3/8, Ground floor, Near Sony Service center Rajouri Garden, New Delhi-110027, India",Delhi,DELHI,Not Available,7579288094,http://ceedasia.org/,drashutoship@gmail.com
